,title,studio,domestic_gross,foreign_gross,year
3108,A Quiet Place,Par.,188000000,152900000,2018-01-01
3109,Green Book,Uni.,85100000,234700000,2018-01-01
3110,Skyscraper,Uni.,68400000,236400000,2018-01-01
3111,Ocean's 8,WB,140200000,157500000,2018-01-01
3112,Pacific Rim Uprising,Uni.,59900000,231100000,2018-01-01
3113,Maze Runner: The Death Cure,Fox,58000000,230200000,2018-01-01
3114,Tomb Raider,WB,58300000,216400000,2018-01-01
3115,Halloween (2018),Uni.,159300000,96100000,2018-01-01
3116,Crazy Rich Asians,WB,174500000,64000000,2018-01-01
3117,Paddington 2,WB,40900000,186400000,2018-01-01
3118,Smallfoot,WB,83200000,130900000,2018-01-01
3119,Creed II,MGM,115700000,98300000,2018-01-01
3120,Disney's Christopher Robin,BV,99200000,98500000,2018-01-01
3121,The Equalizer 2,Sony,102100000,88300000,2018-01-01
3122,The Nutcracker and the Four Realms,BV,54900000,119100000,2018-01-01
3123,The Mule,WB,103800000,68700000,2018-01-01
3124,Insidious: The Last Key,Uni.,67700000,100100000,2018-01-01
3125,The Predator (2018),Fox,51000000,109500000,2018-01-01
3126,Johnny English Strikes Again,Uni.,4400000,154500000,2018-01-01
3127,Red Sparrow,Fox,46900000,104700000,2018-01-01
3128,The First Purge,Uni.,69500000,67500000,2018-01-01
3129,A Wrinkle in Time,BV,100500000,32200000,2018-01-01
3130,The House With A Clock In Its Walls,Uni.,68500000,62900000,2018-01-01
3131,Instant Family,Par.,67400000,53200000,2018-01-01
3132,The Commuter,LGF,36300000,83600000,2018-01-01
3133,Game Night,WB (NL),69200000,48500000,2018-01-01
3134,The Monkey King 3,WGUSA,187000,114900000,2018-01-01
3135,First Man,Uni.,44900000,60800000,2018-01-01
3136,Night School (2018),Uni.,77300000,25800000,2018-01-01
3137,Alpha,Studio 8,35900000,62300000,2018-01-01
3138,A Simple Favor,LGF,53500000,44100000,2018-01-01
3139,The Favourite,FoxS,34400000,61600000,2018-01-01
3140,Truth or Dare,Uni.,41400000,53900000,2018-01-01
3141,I Feel Pretty,STX,48800000,45700000,2018-01-01
3142,Blockers,Uni.,60300000,33700000,2018-01-01
3143,Goosebumps 2: Haunted Halloween,Sony,46700000,46600000,2018-01-01
3144,BlacKkKlansman,Focus,49300000,44000000,2018-01-01
3145,Overboard (2018),PNT,50300000,40900000,2018-01-01
3146,Sherlock Gnomes,Par.,43200000,47100000,2018-01-01
3147,Robin Hood (2018),LG/S,30800000,54000000,2018-01-01
3148,Mortal Engines,Uni.,16000000,67700000,2018-01-01
3149,How Long Will I Love U,WGUSA,747000,82100000,2018-01-01
3150,Den of Thieves,STX,44900000,35600000,2018-01-01
3151,Hereditary,A24,44100000,35300000,2018-01-01
3152,Tag,WB (NL),54700000,23400000,2018-01-01
3153,Vice,Annapurna,47800000,28200000,2018-01-01
3154,Widows,Fox,42400000,33600000,2018-01-01
3155,Sicario: Day of the Soldado,Sony,50100000,25800000,2018-01-01
3156,Searching,SGem,26000000,49400000,2018-01-01
3157,The Spy Who Dumped Me,LGF,33600000,41800000,2018-01-01
3158,Second Act,STX,39300000,33000000,2018-01-01
3159,Sanju,FIP,7900000,63600000,2018-01-01
3160,Book Club,Par.,68600000,0,2018-01-01
3161,12 Strong,WB,45800000,21600000,2018-01-01
3162,"Love, Simon",Fox,40800000,25500000,2018-01-01
3163,Mile 22,STX,36100000,30200000,2018-01-01
3164,Life of the Party,WB (NL),53100000,12800000,2018-01-01
3165,Isle Of Dogs,FoxS,32000000,32200000,2018-01-01
3166,Adrift,STX,31400000,28500000,2018-01-01
3167,The 15:17 to Paris,WB,36300000,20800000,2018-01-01
3168,Early Man,LGF,8300000,46400000,2018-01-01
3169,Peppermint,STX,35400000,18400000,2018-01-01
3170,Teen Titans Go! To The Movies,WB,29800000,22300000,2018-01-01
3171,Slender Man,SGem,30600000,21200000,2018-01-01
3172,Breaking In (2018),Uni.,46800000,4600000,2018-01-01
3173,Once Upon a Deadpool,Fox,6100000,44400000,2018-01-01
3174,The Son of Bigfoot,VPD,289000,46800000,2018-01-01
3175,Uncle Drew,LG/S,42500000,4200000,2018-01-01
3176,Tyler Perry's Acrimony,LGF,43500000,2900000,2018-01-01
3177,Mary Queen of Scots,Focus,16500000,29900000,2018-01-01
3178,The Possession of Hannah Grace,SGem,14800000,28200000,2018-01-01
3179,Overlord,Par.,21700000,20000000,2018-01-01
3180,The Darkest Minds,Fox,12700000,28400000,2018-01-01
3181,Holmes and Watson,Sony,30600000,9900000,2018-01-01
3182,Show Dogs,Global Road,17900000,21300000,2018-01-01
3183,On the Basis of Sex,Focus,24600000,13600000,2018-01-01
3184,Namiya,CL,70800,35300000,2018-01-01
3185,The Girl in the Spider's Web: A New Dragon Tattoo Story,Sony,14800000,20300000,2018-01-01
3186,The Hate U Give,Fox,29700000,5200000,2018-01-01
3187,Death Wish (2018),MGM,34000000,0,2018-01-01
3188,Nobody's Fool,Par.,31700000,1800000,2018-01-01
3189,Bad Times At The El Royale,Fox,17800000,14000000,2018-01-01
3190,Baaghi 2,FIP,1300000,29900000,2018-01-01
3191,The Happytime Murders,STX,20700000,6800000,2018-01-01
3192,Midnight Sun,Global Road,9600000,17800000,2018-01-01
3193,Pad Man,Sony,1700000,25600000,2018-01-01
3194,Monster Family,VPD,127000,26300000,2018-01-01
3195,White Boy Rick,Studio 8,24000000,1900000,2018-01-01
3196,Winchester,LGF,25100000,0,2018-01-01
3197,The Death of Stalin,IFC,8000000,16600000,2018-01-01
3198,Strangers: Prey at Night,Aviron,24600000,0,2018-01-01
3199,"Paul, Apostle of Christ",Affirm,17600000,5500000,2018-01-01
3200,Padmaavat,VPD,11800000,11100000,2018-01-01
3201,Proud Mary,SGem,20900000,876000,2018-01-01
3202,Superfly,Sony,20500000,236000,2018-01-01
3203,If Beale Street Could Talk,Annapurna,14900000,5700000,2018-01-01
3204,Burn the Stage: The Movie,Trafalgar,4200000,16100000,2018-01-01
3205,Detective K: Secret of the Living Dead,WGUSA,104000,18500000,2018-01-01
3206,The Wife,SPC,9600000,8600000,2018-01-01
3207,Hell Fest,LGF,11100000,7100000,2018-01-01
3208,Chappaquiddick,ENTMP,17400000,591000,2018-01-01
3209,They Shall Not Grow Old,WB,18000000,0,2018-01-01
3210,Free Solo,NGE,17500000,0,2018-01-01
3211,The Children Act,A24,548000,17000000,2018-01-01
3212,Beautiful Boy (2018),Amazon,7600000,8700000,2018-01-01
3213,Hunter Killer,LG/S,15800000,0,2018-01-01
3214,Tully (2018),Focus,9400000,6300000,2018-01-01
3215,Unfriended: Dark Web,BH Tilt,8900000,6300000,2018-01-01
3216,Upgrade,BH Tilt,12000000,2400000,2018-01-01
3217,Unsane,BST,7700000,6600000,2018-01-01
3218,The Sisters Brothers,Annapurna,3100000,10000000,2018-01-01
3219,Welcome to Marwen,Uni.,10800000,2100000,2018-01-01
3220,Hotel Artemis,Global Road,6700000,6000000,2018-01-01
3221,Marrowbone,Magn.,1400,12300000,2018-01-01
3222,102 Not Out,Sony,1300000,10900000,2018-01-01
3223,Boy Erased,Focus,6800000,5000000,2018-01-01
3224,Back to Burgundy,MBox,258000,11400000,2018-01-01
3225,The Bookshop,Greenwich,1600000,9900000,2018-01-01
3226,The Old Man & the Gun,FoxS,11300000,0,2018-01-01
3227,Gringo,STX,5000000,6000000,2018-01-01
3228,Golden Slumber,CJ,94500,10600000,2018-01-01
3229,Kin,LGF,5700000,4300000,2018-01-01
3230,The Big Bad Fox and Other Tales,GK,35800,9600000,2018-01-01
3231,Traffik,LGF,9200000,336000,2018-01-01
3232,Can You Ever Forgive Me?,FoxS,8800000,0,2018-01-01
3233,7 Days in Entebbe,Focus,3300000,5400000,2018-01-01
3234,Pope Francis - A Man of His Word,Focus,2000000,6600000,2018-01-01
3235,Condorito: La Pelicula,LGF,448000,8000000,2018-01-01
3236,Suspiria,Amazon,2500000,5400000,2018-01-01
3237,Disobedience,BST,3500000,4400000,2018-01-01
3238,Qué León (What A Lion),Spanglish,2600000,5200000,2018-01-01
3239,Life Itself (2018),Amazon,4099999,3700000,2018-01-01
3240,Beirut,BST,5000000,2500000,2018-01-01
3241,Return of the Hero,Distrib.,37100,7300000,2018-01-01
3242,Soorma,Sony,390000,6200000,2018-01-01
3243,The Hurricane Heist,ENTMP,6100000,0,2018-01-01
3244,Every Day (2018),Orion,6100000,0,2018-01-01
3245,Leave No Trace,BST,6000000,0,2018-01-01
3246,My Hero Academia: Two Heroes,FUN,5800000,0,2018-01-01
3247,Destroyer,Annapurna,1500000,4000000,2018-01-01
3248,Madame,Blue Fox,91000,5300000,2018-01-01
3249,Colette,BST,5100000,0,2018-01-01
3250,Blindspotting,LG/S,4300000,530000,2018-01-01
3251,Cold War (2018),Amazon,4600000,0,2018-01-01
3252,Papillon (2018),BST,2300000,2200000,2018-01-01
3253,Gotti,VE,4300000,0,2018-01-01
3254,The Mercy,Scre.,29500,4200000,2018-01-01
3255,Hichki,Yash,330000,3900000,2018-01-01
3256,Ya Veremos,PNT,4200000,0,2018-01-01
3257,Don't Worry He Won't Get Far on Foot,Amazon,1400000,2500000,2018-01-01
3258,A Private War,Aviron,1600000,2200000,2018-01-01
3259,Ben is Back,RAtt.,3700000,0,2018-01-01
3260,Bad Samaritan,Electric,3400000,0,2018-01-01
3261,Gauguin: Voyage to Tahiti,Cohen,200000,3100000,2018-01-01
3262,Shoplifters,Magn.,3300000,0,2018-01-01
3263,The Front Runner,Sony,2000000,1200000,2018-01-01
3264,2001: A Space Odyssey (2018 re-release),WB,3200000,0,2018-01-01
3265,Wildlife,IFC,1100000,2000000,2018-01-01
3266,La Boda de Valentina,PNT,2800000,0,2018-01-01
3267,You Were Never Really Here,Amazon,2500000,0,2018-01-01
3268,Billionaire Boy's Club,VE,1300,2500000,2018-01-01
3269,The Rider,SPC,2400000,0,2018-01-01
3270,Mary and the Witch's Flower,GK,2400000,0,2018-01-01
3271,Bilal: A New Breed of Hero,VE,491000,1700000,2018-01-01
3272,A Fantastic Woman,SPC,2000000,0,2018-01-01
3273,MET Opera: La Traviata,Fathom,1900000,0,2018-01-01
3274,Capernaum,SPC,1700000,0,2018-01-01
3275,I Still See You,LGF,1400,1500000,2018-01-01
3276,Finding Your Feet,RAtt.,1400000,0,2018-01-01
3277,Never Look Away,SPC,1300000,0,2018-01-01
3278,Maria by Callas,SPC,1300000,0,2018-01-01
3279,Mandy,RLJ,1200000,0,2018-01-01
3280,Andhadhun,Eros,1200000,0,2018-01-01
3281,Lean on Pete,A24,1200000,0,2018-01-01
3282,Nothing to Lose (2018),Swen,1000000,0,2018-01-01
3283,Raid (2018),Eros,1000000,0,2018-01-01
3284,The Insult,Cohen,1000000,0,2018-01-01
3285,Little Italy,EOne,990000,0,2018-01-01
3286,The Catcher Was a Spy,IFC,725000,229000,2018-01-01
3287,The Miseducation of Cameron Post,FR,905000,0,2018-01-01
3288,Kedarnath,PackYourBag,901000,0,2018-01-01
3289,Schindler's List (2018 re-release),Uni.,833000,0,2018-01-01
3290,Mirai,GK,813000,0,2018-01-01
3291,Beast,RAtt.,800000,0,2018-01-01
3292,Pokemon the Movie: The Power of Us,Fathom,789000,0,2018-01-01
3293,The Party (2017),RAtt.,750000,0,2018-01-01
3294,Burning,WGUSA,719000,0,2018-01-01
3295,Foxtrot,SPC,619000,0,2018-01-01
3296,The Sound of Music (2018 re-release),Fathom,616000,0,2018-01-01
3297,The Big Lebowski (20th Anniversary),Fathom,583000,0,2018-01-01
3298,Manmarziyaan,Eros,567000,0,2018-01-01
3299,Loveless (2018),SPC,566000,0,2018-01-01
3300,Tommy Wiseau's The Room,Fathom,550000,0,2018-01-01
3301,Fireworks (2018),GK,525000,0,2018-01-01
3302,The Spy Gone North,CJ,501000,0,2018-01-01
3303,The Happy Prince,SPC,466000,0,2018-01-01
3304,Final Portrait,SPC,462000,0,2018-01-01
3305,Bag of Marbles,Gaum.,411000,0,2018-01-01
3306,Vertigo (60th Anniversary),Fathom,394000,0,2018-01-01
3307,Oh Lucy!,FM,375000,0,2018-01-01
3308,Mountain,Greenwich,365000,0,2018-01-01
3309,Time Freak,Grindstone,10000,256000,2018-01-01
3310,What They Had,BST,260000,0,2018-01-01
3311,Batti Gul Meter Chalu,Eros,250000,0,2018-01-01
3312,Borg vs. McEnroe,Neon,231000,0,2018-01-01
3313,Matangi/Maya/M.I.A.,Abr.,231000,0,2018-01-01
3314,Mazinger Z: INFINITY,Fathom,221000,0,2018-01-01
3315,Fate/Stay Night: Heaven's Feel - I. Presage Flower,Fathom,194000,0,2018-01-01
3316,Summer 1993,Osci.,186000,0,2018-01-01
3317,Maquia: When the Promised Flower Blooms (Subtitled),Elev.,186000,0,2018-01-01
3318,Karwaan,PackYourBag,182000,0,2018-01-01
3319,Last Letter,CL,181000,0,2018-01-01
3320,The Accidental Detective 2: In Action,CJ,179000,0,2018-01-01
3321,The Guardians,MBox,177000,0,2018-01-01
3322,Luis & the Aliens,VPD,170000,0,2018-01-01
3323,Double Lover,Cohen,168000,0,2018-01-01
3324,Ghost Stories,IFC,149000,0,2018-01-01
3325,Museo,Vita.,149000,0,2018-01-01
3326,The Little Mermaid (2018),Conglomerate,147000,0,2018-01-01
3327,The Young Karl Marx,Orch.,126000,0,2018-01-01
3328,Becoming Astrid,MBox,120000,0,2018-01-01
3329,Ryuichi Sakamoto: Coda,MUBI,117000,0,2018-01-01
3330,Gonjiam: Haunted Asylum,WGUSA,115000,0,2018-01-01
3331,Take Point,CJ,112000,0,2018-01-01
3332,The Dawn Wall,Orch.,112000,0,2018-01-01
3333,The Negotiation,CJ,111000,0,2018-01-01
3334,The Captain,MBox,109000,0,2018-01-01
3335,Mary Shelley,IFC,109000,0,2018-01-01
3336,In Between,FM,108000,0,2018-01-01
3337,Namaste England,Eros,104000,0,2018-01-01
3338,Happy Phirr Bhag Jayegi,Eros,103000,0,2018-01-01
3339,Ismael's Ghosts,Magn.,103000,0,2018-01-01
3340,Revenge (2018),Neon,102000,0,2018-01-01
3341,Unstoppable (2018),WGUSA,101000,0,2018-01-01
3342,Reign of Judges: Title of Liberty - Concept Short,Darin Southa,93200,5200,2018-01-01
3343,The Third Murder,FM,89300,0,2018-01-01
3344,The House That Jack Built,IFC,88000,0,2018-01-01
3345,Custody,KL,83900,0,2018-01-01
3346,Godard Mon Amour,Cohen,82300,0,2018-01-01
3347,Just a Breath Away,EOne,78000,0,2018-01-01
3348,Mukkabaaz,Eros,75900,0,2018-01-01
3349,Keys to the Heart,CJ,75100,0,2018-01-01
3350,Tehran Taboo,KL,74800,0,2018-01-01
3351,The Last Suit,OutF,73500,0,2018-01-01
3352,"Nico, 1988",Magn.,73300,0,2018-01-01
3353,Antonio Lopez 1970: Sex Fashion & Disco,FM,43200,30000,2018-01-01
3354,Helicopter Eela,Eros,72000,0,2018-01-01
3355,Under the Tree,Magn.,67600,0,2018-01-01
3356,Before We Vanish,Super,52100,0,2018-01-01
3357,I Am Not a Witch,FM,50900,0,2018-01-01
3358,Racer & the Jailbird,Super,46300,0,2018-01-01
3359,Rodin,Cohen,44300,0,2018-01-01
3360,What Will People Say,KL,44200,0,2018-01-01
3361,A Ciambra,IFC,41900,0,2018-01-01
3362,Oolong Courtyard,CL,37700,0,2018-01-01
3363,Girls vs Gangsters,WGUSA,37100,0,2018-01-01
3364,"No Date, No Signature",Distrib.,36400,0,2018-01-01
3365,The Apparition (2018),MBox,28300,0,2018-01-01
3366,The Charmer,FM,26200,0,2018-01-01
3367,Elliot: The Littlest Reindeer,Scre.,24300,0,2018-01-01
3368,The Workshop,Strand,22100,0,2018-01-01
3369,Loving Pablo,Uni.,22000,0,2018-01-01
3370,A Paris Education,KL,21600,0,2018-01-01
3371,Tag Along: The Devil Fish,CL,20700,0,2018-01-01
3372,Gabriel and the Mountain,Strand,18400,0,2018-01-01
3373,Marlina the Murderer in Four Acts,Icar.,17800,0,2018-01-01
3374,The Escape,IFC,14000,0,2018-01-01
3375,How Victor 'The Garlic' Took Alexey 'The Stud' to the Nursing Home,CARUSEL,13000,0,2018-01-01
3376,"Lou Andreas-Salomé, the Audacity to be Free",CLS,12900,0,2018-01-01
3377,Let Yourself Go,Men.,12200,0,2018-01-01
3378,Hannah (2018),PDF,11700,0,2018-01-01
3379,Souvenir,Strand,11400,0,2018-01-01
3380,Furious (Legend of Kolovrat),CARUSEL,10000,0,2018-01-01
3381,Beauty and the Dogs,Osci.,8900,0,2018-01-01
3382,The Quake,Magn.,6200,0,2018-01-01
3383,Edward II (2018 re-release),FM,4800,0,2018-01-01
3384,El Pacto,Sony,2500,0,2018-01-01
3385,The Swan,Synergetic,2400,0,2018-01-01
3386,An Actor Prepares,Grav.,1700,0,2018-01-01
